Theta Phi Col1 Col2 Intensity
21.0 141.0 40425.8 47381.2 0.051863425000000005
21.0 144.0 48011.4 47381.2 0.05595765
21.0 147.0 51931.0 47381.2 0.039584375
21.0 150.0 42540.5 47381.2 0.12373232499999999
21.0 153.0 42540.5 47381.2 0.045658249999999984
21.0 156.0 42540.5 47381.2 -0.10246804999999998
21.0 159.0 36400.1 47381.2 -0.10933240000000001
21.0 162.0 40239.1 47381.2 -0.06799032499999998
21.0 165.0 41262.9 47381.2 -0.08166625000000002
21.0 168.0 38809.9 47381.2 -0.07501327499999996
21.0 171.0 51329.2 47381.2 0.05029792499999999
21.0 174.0 51329.2 47381.2 -0.050903024999999984
21.0 177.0 51329.2 47381.2 0.04710797499999999
21.0 180.0 56011.8 47381.2 -0.0034608750000000113
21.0 183.0 56256.9 47381.2 0.26973969999999997
21.0 186.0 55406.1 47381.2 0.12985192499999998
21.0 189.0 57328.5 47381.2 0.16400384999999998
21.0 192.0 51876.7 47381.2 -0.038781925
21.0 195.0 53640.7 47381.2 0.07935382500000002
21.0 198.0 60067.6 47381.2 0.032752899999999974
21.0 201.0 48846.2 47381.2 0.024243025000000026
21.0 204.0 51039.1 47381.2 -0.11376087499999997
21.0 207.0 47017.4 47381.2 -0.23314127499999998
21.0 210.0 51108.5 47381.2 -0.21523609999999996
21.0 213.0 55045.5 47381.2 -0.13884795
21.0 216.0 47699.6 47381.2 0.04587255
21.0 219.0 61260.1 47381.2 0.024911374999999972
21.0 222.0 51107.1 47381.2 0.025951124999999978
21.0 225.0 49903.0 47381.2 -0.025033624999999997
21.0 228.0 49489.1 47381.2 0.03723292499999995
21.0 231.0 53900.3 47381.2 0.051863425
21.0 234.0 55046.8 47381.2 0.055957650000000005
21.0 237.0 56616.9 47381.2 0.03958437500000002
21.0 240.0 72596.0 47381.2 0.12373232499999996
21.0 243.0 49405.4 47381.2 0.04565824999999995
21.0 246.0 59529.0 47381.2 -0.10246804999999999
21.0 249.0 50042.6 47381.2 -0.10933239999999998
21.0 252.0 65049.7 47381.2 -0.06799032499999996
21.0 255.0 50197.6 47381.2 -0.08166625
21.0 258.0 42898.3 47381.2 -0.07501327499999993
21.0 261.0 48697.0 47381.2 0.05029792499999999
21.0 264.0 53568.3 47381.2 -0.05090302499999998
21.0 267.0 50414.6 47381.2 0.04710797500000002
21.0 270.0 45569.8 47381.2 -0.0034608749999999874
21.0 273.0 61385.1 47381.2 0.26973969999999997
21.0 276.0 52574.2 47381.2 0.129851925
21.0 279.0 66931.5 47381.2 0.16400385
21.0 282.0 57368.7 47381.2 -0.03878192500000003
21.0 285.0 63761.0 47381.2 0.07935382499999998
21.0 288.0 36083.6 47381.2 0.03275289999999998
21.0 291.0 56226.9 47381.2 0.024243024999999994
