 theta   phi  intensity
  33.0  66.0    72213.9
  33.0  69.0    66565.0
  33.0  72.0    67511.5
  33.0  75.0    52358.4
  33.0  78.0    51331.6
  33.0  81.0    60192.3
  33.0  84.0    52240.1
  33.0  87.0    67920.2
  33.0  90.0    75834.9
  33.0  93.0    90121.6
  33.0  96.0    69551.1
  33.0  99.0    63471.7
  33.0 102.0    73208.5
  33.0 105.0    66439.1
  33.0 108.0    67727.5
  33.0 111.0    59902.6
  33.0 114.0    68093.5
  33.0 117.0    56957.0
  33.0 120.0    92735.5
  33.0 123.0    60717.6
  33.0 126.0    59480.5
  33.0 129.0    70902.1
  33.0 132.0    63589.5
  33.0 135.0    67732.5
  33.0 138.0    70944.3
  33.0 141.0    86215.4
  33.0 144.0    88870.9
  33.0 147.0    87078.6
  33.0 150.0    83176.3
  33.0 153.0    74526.4
  33.0 156.0    82202.4
  33.0 159.0    89763.1
  33.0 162.0    75548.9
  33.0 165.0    79188.3
  33.0 168.0   102392.3
  33.0 171.0    74377.6
  33.0 174.0    88035.3
  33.0 177.0    91704.1
  33.0 180.0    69444.3
  33.0 183.0   100862.5
  33.0 186.0    91384.5
  33.0 189.0    99491.9
  33.0 192.0    99491.9
  33.0 195.0    97383.1
  33.0 198.0   113526.3
  33.0 201.0   102163.6
  33.0 204.0   111329.1
  33.0 207.0    97952.4
  33.0 210.0   103544.6
  33.0 213.0    89577.1
  33.0 216.0   109529.4
  33.0 219.0   106072.5
  33.0 222.0   130253.8
  33.0 225.0   119299.3
  33.0 228.0   144442.7
  33.0 231.0   111899.3
  33.0 234.0   137517.5
  33.0 237.0   120569.9
  33.0 240.0   118678.4
  33.0 243.0   132291.0
  33.0 246.0    99240.8
  33.0 249.0   154068.5
  33.0 252.0   120594.9
  33.0 255.0   132912.3
  33.0 258.0   124811.5
  33.0 261.0   167025.6
  33.0 264.0   125139.4
  33.0 267.0   132248.0
  33.0 270.0   130621.8
  33.0 273.0   136717.9
  33.0 276.0   123793.9
  33.0 279.0   116403.7
  33.0 282.0   151013.4
  33.0 285.0    99227.0
  33.0 288.0   122588.6
  33.0 291.0   121563.3
  33.0 294.0    94857.0
  33.0 297.0   103640.8
  33.0 300.0   123353.5
  33.0 303.0   105496.0
  33.0 306.0    96962.7
  33.0 309.0   145304.9
  33.0 312.0   113614.1
  33.0 315.0   103923.0
  33.0 318.0   112261.9
  33.0 321.0   122827.0
  33.0 324.0   110381.7
  33.0 327.0   118667.9
  33.0 330.0   110360.8
  33.0 333.0    96211.8
  33.0 336.0   116697.9
  33.0 339.0    93612.2
  33.0 342.0   104841.0
  33.0 345.0   104841.0
  33.0 348.0    91275.2
  33.0 351.0    87296.5
  33.0 354.0    90129.0
  33.0 357.0    94003.1
  36.0   0.0    78161.5
  36.0   3.0    83766.0
  36.0   6.0    75534.7
  36.0   9.0    76515.3
  36.0  12.0    75722.1
  36.0  15.0    69100.9
  36.0  18.0    64633.0
  36.0  21.0    46111.4
  36.0  24.0    55831.0
  36.0  27.0    64110.3
  36.0  30.0    61919.6
  36.0  33.0    61912.6
  36.0  36.0    61912.6
  36.0  39.0    63977.9
  36.0  42.0    67593.6
  36.0  45.0    65517.2
  36.0  48.0    67427.6
  36.0  51.0    68529.5
  36.0  54.0    67538.7
  36.0  57.0    56231.3
  36.0  60.0    59432.8
  36.0  63.0    60697.6
  36.0  66.0    56853.3
  36.0  69.0    61757.3
  36.0  72.0    53719.5
  36.0  75.0    49911.7
  36.0  78.0    45276.5
  36.0  81.0    53869.7
  36.0  84.0    43852.1
  36.0  87.0    47623.7
  36.0  90.0    56993.4
  36.0  93.0    54879.5
  36.0  96.0    52814.0
  36.0  99.0    56635.9
  36.0 102.0    54271.2
  36.0 105.0    46462.2
